"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4017","test_verify_create_user","tests.web","2026-03-08","passed","2026-03-08","TestGlobalArenaWeb","test_global_arena_login","",""
"Verify that the Administration page displays the expected total number of menu items in the left navigation panel","68","Verify total number of menu items in Administration page","tests.web","2026-03-08","passed","2026-03-08","TestGrafanaWeb","test_grafana_home","",""
"This test verifies that after navigation, the user is returned to the Home Page and the home page identifier message is displayed correctly.","19883","Verify return to Home Page","tests.web","2026-03-09","passed","2026-03-09","TestGlobalArenaCart","test_global_arena_cart","",""
"","10168","test_verify_new_user[new_user_data1]","tests.web","2026-03-10","passed","2026-03-10","TestGrafanaDDT","test_grafana_ddt","",""
"","9113","test_verify_new_user[new_user_data2]","tests.web","2026-03-05","passed","2026-03-05","TestGrafanaDDT","test_grafana_ddt","",""
"This test verifies that a ticket can be added to the cart successfully and the correct event name is displayed in the cart.","2594","Verify adding ticket to cart","tests.web","2026-03-09","passed","2026-03-09","TestGlobalArenaCart","test_global_arena_cart","",""
"This test verifies that a new user can be created successfully and after creation the Home Page header is displayed as expected.","4668","Verify user creation","tests.web","2026-03-09","passed","2026-03-09","TestGlobalArenaLoginPage","test_global_arena_login","",""
"Verify that searching with an invalid item name shows appropriate 'not found' message","1751","Search with invalid item name","tests.web","2026-03-10","passed","2026-03-10","TestGrafanaWeb","test_grafana_home","",""
"","615","test_verify_new_user[new_user_data2]","","2026-03-05","passed","2026-03-05","","","",""
"Test that the 'Clear All Tasks' button removes everything","0","Verify Clear All Tasks","tests.mobile","2026-03-10","broken","2026-03-10","TestToDoList","test_to_do_list","",""
"Verify that login succeeds when user name and password are retrieved from the database and that the home page header is displayed","6963","Verify successful login using DB","tests.web","2026-03-05","passed","2026-03-05","TestGrafanaLoginPage","test_grafana_login","",""
"","1130","test_verify_all_tickets","tests.web","2026-03-10","passed","2026-03-10","TestGlobalArenaHome","test_global_arena_home","",""
"Verify that DELETE users removes user successfully","92","Delete existing user","tests.api","2026-03-10","passed","2026-03-10","TestGrafanaAPI","test_api_garfana","",""
"Verify that login succeeds when user name and password are retrieved from the database and ai ,that the home page header is displayed","7998","Verify successful login using DB and AI","tests.web","2026-03-08","passed","2026-03-08","TestGrafanaLoginPage","test_grafana_login","",""
"This test verifies that a user can buy a ticket and complete the checkout process successfully, and the purchase confirmation message is displayed.","19999","Verify ticket purchase and checkout","tests.web","2026-03-09","passed","2026-03-09","TestGlobalArenaCart","test_global_arena_cart","",""
"Verify that DELETE teams removes the team successfully","53","Delete existing team","tests.api","2026-03-08","passed","2026-03-08","TestGrafanaAPI","test_api_garfana","",""
"Verify that the Administration page displays the expected total number of menu items in the left navigation panel","5008","Verify total number of menu items in Administration page","","2026-03-08","passed","2026-03-08","","","",""
"This test verifies that all tickets can be removed from the cart successfully and the correct cart deletion message is displayed.","5589","Verify deleting tickets from cart","tests.web","2026-03-09","passed","2026-03-09","TestGlobalArenaCart","test_global_arena_cart","",""
"","9202","test_verify_new_user[new_user_data1]","tests.web","2026-03-05","passed","2026-03-05","TestGrafanaDDT","test_grafana_ddt","",""
"","8722","test_verify_new_user[new_user_data1]","","2026-03-05","passed","2026-03-05","","","",""
"This test verifies that a user can log out successfully and the 'My Order' message or identifier is visible on the Home Page.","4025","Verify logout functionality","tests.web","2026-03-09","passed","2026-03-09","TestGlobalArenaLoginPage","test_global_arena_login","",""
"","10289","test_verify_new_user[new_user_data0]","tests.web","2026-03-10","passed","2026-03-10","TestGrafanaDDT","test_grafana_ddt","",""
"","2144","test_verify_add_card_to_cart","tests.web","2026-03-09","passed","2026-03-09","TestGlobalArenaWeb","test_global_arena_login","",""
"Verify that searching for a valid item navigates to the correct profiles page","3194","Search for existing item from Home Page","tests.web","2026-03-10","passed","2026-03-10","TestGrafanaWeb","test_grafana_home","",""
"Verify that all users except the default admin user can be deleted and that the remaining number of users matches the expected result","7834","Delete all users except admin user","tests.web","2026-03-08","passed","2026-03-08","TestGrafanaWeb","test_grafana_home","",""
"Test that a user can successfully add a new task to the list","0","Verify adding a new task","tests.mobile","2026-03-10","broken","2026-03-10","TestToDoList","test_to_do_list","",""
"","4216","test_verify_google_apps","tests.web","2026-03-10","failed","2026-03-10","TestGrafanaWeb","test_grafana_home","",""
"Verify that a new team can be created successfully and appears in the teams list","8043","Create new team from Home Page","tests.web","2026-03-10","passed","2026-03-10","TestGrafanaWeb","test_grafana_home","",""
"","14115","test_verify_new_user[new_user_data2]","tests.web","2026-03-05","failed","2026-03-05","TestGrafanaDDT","test_grafana_ddt","",""
"This test verifies that all tickets can be removed from the cart successfully and the correct cart deletion message is displayed.","5617","Verify deleting tickets from cart","tests.web","2026-03-09","passed","2026-03-09","TestGlobalArenaCart","test_global_arena_cart","",""
"Test that clicking Toggle marks the task as completed and moves it to the Completed list while keeping it in the main list","0","Verify task is moved to Completed list","tests.mobile","2026-03-10","broken","2026-03-10","TestToDoList","test_to_do_list","",""
"Verify that when entering invalid username and password,an appropriate error message is displayed on the login page.","3054","Verify login fails with invalid username and password ","tests.web","2026-03-08","passed","2026-03-08","TestGrafanaLoginPage","test_grafana_login","",""
"","613","test_verify_new_user[new_user_data2]","","2026-03-05","passed","2026-03-05","","","",""
"Verify that POST teams successfully creates a new team","53","Create new team","tests.api","2026-03-08","passed","2026-03-08","TestGrafanaAPI","test_api_garfana","",""
"Test that clicking Delete on a specific task removes it from the list","0","Verify Single Task Deletion","tests.mobile","2026-03-10","broken","2026-03-10","TestToDoList","test_to_do_list","",""
"Verify that after successful login, the user can log out ,and is redirected back to the login page.","5823","Verify user can logout successfully","tests.web","2026-03-08","passed","2026-03-08","TestGrafanaLoginPage","test_grafana_login","",""
"Verify that PUT teams updates team name and email","50","Update team details","tests.api","2026-03-08","passed","2026-03-08","TestGrafanaAPI","test_api_garfana","",""
"Verify that POST users successfully creates a new user","79","Create new user","tests.api","2026-03-08","passed","2026-03-08","TestGrafanaAPI","test_api_garfana","",""
"","8682","test_verify_new_user[new_user_data1]","","2026-03-05","passed","2026-03-05","","","",""
"Verify that POST teams members adds a user to the team","56","Add member to team","tests.api","2026-03-08","passed","2026-03-08","TestGrafanaAPI","test_api_garfana","",""
"","2662","test_verify_delete_cart","tests.web","2026-03-09","passed","2026-03-09","TestGlobalArenaHomePage","test_global_arena_home","",""
"Verify that GET users returns 200 and retrieves all existing users","65","Get all users","tests.api","2026-03-08","passed","2026-03-08","TestGrafanaAPI","test_api_garfana","",""
"Verify that searching for a valid item navigates to the correct profiles page","1","Search for existing item from Home Page","","2026-03-08","passed","2026-03-08","","","",""
"Verify that deleting an existing team removes it from the system and displays correct confirmation message","9360","Delete existing team from Home Page","tests.web","2026-03-10","passed","2026-03-10","TestGrafanaWeb","test_grafana_home","",""
"Verify that GET teams returns 200 and retrieves all teams","64","Get all teams","tests.api","2026-03-08","passed","2026-03-08","TestGrafanaAPI","test_api_garfana","",""
"","2547","test_verify_add_card_to_cart","tests.web","2026-03-09","passed","2026-03-09","TestGlobalArenaHomePage","test_global_arena_home","",""
"","601","test_verify_new_user[new_user_data2]","","2026-03-05","passed","2026-03-05","","","",""
"Verify that 'Clear Completed' button removes only completed tasks","0","Verify Clear Completed Functionality","tests.mobile","2026-03-10","broken","2026-03-10","TestToDoList","test_to_do_list","",""
"Verify that the Administration page displays the expected total number of menu items in the left navigation panel","5008","Verify total number of menu items in Administration page","","2026-03-10","passed","2026-03-10","","","",""
"Verify that creating a duplicate user returns proper error message","69","Create duplicate user","tests.api","2026-03-08","passed","2026-03-08","TestGrafanaAPI","test_api_garfana","",""
"","3574","test_verify_login","tests.web","2026-03-08","passed","2026-03-08","TestGlobalArenaWeb","test_global_arena_login","",""
"This test verifies that a user can log in successfully and the Home Page header is displayed correctly.","3496","Verify successful login","tests.web","2026-03-09","passed","2026-03-09","TestGlobalArenaLoginPage","test_global_arena_login","",""
"","8825","test_verify_new_user[new_user_data1]","","2026-03-05","passed","2026-03-05","","","",""
"Verify that PUT users updates user details successfully","51","Update user information","tests.api","2026-03-08","passed","2026-03-08","TestGrafanaAPI","test_api_garfana","",""
"","10437","test_verify_new_user[new_user_data2]","tests.web","2026-03-10","passed","2026-03-10","TestGrafanaDDT","test_grafana_ddt","",""
"","9197","test_verify_new_user[new_user_data0]","tests.web","2026-03-05","broken","2026-03-05","TestGrafanaDDT","test_grafana_ddt","",""
